번호,주차장 이름,차량 수용대수(전체 중 장애인 차량 수용대수),주차 요금(1시간 기준),경도,위도
127,죽림파출소,50,0,127.2957693,36.59595559
128,소방서,50,0,127.2969394,36.58598892
129,첫마을안전센터,50,0,127.2592051,36.48050411
130,한솔파출소,50,0,127.2591221,36.48034058
131,한솔동주민센터,50,0,127.2546671,36.479174
132,세종한솔동우체국,50,0,127.2543426,36.47964468
133,와촌보건진료소,50,0,127.2464642,36.55684336
134,부강면119지역대,50,0,127.3729278,36.52797706
135,부강119안전센터,50,0,127.3721192,36.5283453
136,세종연동우체국,50,0,127.3252581,36.5580113
137,연동파출소,50,0,127.3247275,36.55859152
138,문화체육관광부,50,0,127.2654334,36.49787691
139,교육부,50,0,127.2639834,36.49945578
140,기획재정부,50,0,127.2664963,36.50600844
141,세종소방서,50,0,127.2739354,36.50601105
142,대통령기록관,50,0,127.2732498,36.5016562
143,국무조정실,50,0,127.2709624,36.50306351
144,대평동복합커뮤니티센터,50,0,127.2792,36.47096104
145,"공정거래위원회, 조세심판원",50,0,127.2684511,36.50420041
146,국가보훈처,50,0,127.2612833,36.50319624
147,보건복지부,50,0,127.2621103,36.50254494
148,우정사업본부,50,0,127.2592044,36.50472798
149,"법제처, 국민권익위원회",50,0,127.2595173,36.50609305
150,"국토교통부, 환경부, 행복도시건설청",50,0,127.2631716,36.50533483
151,우체국,50,0,127.2473289,36.51142724
152,아름동행정복지센터,50,0,127.2468898,36.51235152
153,세종경찰서,50,0,127.2948741,36.58822903
154,세종부강우체국,50,0,127.3670597,36.52996375
155,고운동 복합커뮤니티센터(남측),50,0,127.2353642,36.50497409
156,고운동복합커뮤니티센터,50,0,127.2365898,36.51972438
157,보람동 119안전센터,50,0,127.2913695,36.4779284
158,보람동 경찰지구대,50,0,127.2909996,36.47774211
159,한국법제연구원,50,0,127.3021109,36.49219783
160,국세청,50,0,127.2603063,36.48507981
161,행복도시홍보관,50,0,127.2702929,36.48967496
162,한국해양교통안전공단,50,0,127.2428834,36.51450726
163,다정동 복합커뮤니티센터,50,0,127.2503429,36.49452387
164,경찰지구대,50,0,127.2470605,36.51143326
165,조치원우체국,50,0,127.2981874,36.60242909
166,도시통합정보센터,50,0,127.2568341,36.49345401
167,"산업통상자원부, 중앙토지수용위원회",50,0,127.2601638,36.49963725
168,대전지방법원조치원등기소,50,0,127.2990044,36.60446862
169,세종시자율방범연합대,50,0,127.3027096,36.59805098
170,청사원예시설,50,0,127.2681206,36.5054996
171,새롬동복합커뮤니티센터,50,0,127.2518155,36.48511097
172,보람동주민센터,50,0,127.290614,36.47877463
173,전의119안전센터,50,0,127.1923427,36.68648353
174,도담동주민센터,50,0,127.2617462,36.51540551
175,송학보건진료소,50,0,127.1902482,36.53814426
176,세종경찰서 전의파출소,50,0,127.2034184,36.67908729
177,전의면보건지소,50,0,127.2048256,36.67848968
178,"농림축산식품부, 해양수산부",50,0,127.2670797,36.50492438
179,119안전센터,50,0,127.2466424,36.51142011
180,국립세종도서관,50,0,127.2683884,36.49882469
181,부강면사무소,50,0,127.3709017,36.52973248
182,소정면사무소,50,0,127.1582905,36.72236567
183,전동치안센터,50,0,127.2650162,36.65590843
184,조치원읍행정복지센터,50,0,127.2984603,36.6045482
185,세종특별자치시보건소,50,0,127.296515,36.60567621
186,"산업통상자원부, 중앙토지수용위원회",50,0,127.2611603,36.49913131
187,"산업통상자원부, 중앙토지수용위원회",50,0,127.2622755,36.4989975
188,소정면119지역대,50,0,127.1582154,36.72166251
189,정부세종컨벤션센터,50,0,127.2711722,36.50037547
190,부강면사무소,50,0,127.3707531,36.52942608
191,부강면사무소,50,0,127.3711467,36.52966104
192,부강면사무소,50,0,127.3709071,36.52925342
193,사무실(office)-금융,50,0,127.2822115,36.46523872
194,세종에덴요양원-금융,50,0,127.2990155,36.6018655
195,사무실(office)-금융,50,0,127.3262352,36.55848044
196,사무실(office)-금융,50,0,127.3674815,36.52829963
197,사무실(office)-금융,50,0,127.3674294,36.529255
198,부용농협-금융,50,0,127.3669158,36.5294279
199,사무실(office)-금융,50,0,127.3686915,36.53025639
200,사무실(office)-금융,50,0,127.3688721,36.52998615
201,금강프라자-금융,50,0,127.2624715,36.47932535
202,NH농협 세종통합센터-금융,50,0,127.2625845,36.50697721
203,사무실(office)-금융,50,0,127.3299551,36.48039873
204,사무실(office)-금융,50,0,127.2057334,36.49752791
205,사무실(office)-금융,50,0,127.2067331,36.49779056
206,사무실(office)-금융,50,0,127.2949874,36.58530303
207,사무실(office)-금융,50,0,127.2753495,36.54411463
208,사무실(office)-금융,50,0,127.2986419,36.59971473
209,사무실(office)-금융,50,0,127.2980419,36.59984396
210,사무실(office)-금융,50,0,127.2636725,36.58861736
211,사무실(office)-금융,50,0,127.2815112,36.46588685
212,사무실(office)-금융,50,0,127.2815222,36.46604048
213,사무실(office)-금융,50,0,127.2815647,36.46614234
214,사무실(office)-금융,50,0,127.2816408,36.46636164
215,사무실(office)-금융,50,0,127.2816156,36.46753346
216,사무실(office)-금융,50,0,127.28167,36.4679599
217,사무실(office)-금융,50,0,127.2991506,36.60118703
218,사무실(office)-금융,50,0,127.2999068,36.60169618
219,사무실(office)-금융,50,0,127.2999758,36.60173969
220,사무실(office)-금융,50,0,127.2999231,36.6018409
221,사무실(office)-금융,50,0,127.2997589,36.60188509
222,욱일아파트-금융,50,0,127.2941812,36.6029311
223,사무실(office)-금융,50,0,127.301015,36.60129344
224,사무실(office)-금융,50,0,127.3016281,36.60003979
225,사무실(office)-금융,50,0,127.3017095,36.59994764
226,사무실(office)-금융,50,0,127.3020703,36.59737949
227,동세종농협 연흥지점-금융,50,0,127.3470426,36.53572221
228,대전충남우유농협협동-금융,50,0,127.2516635,36.51637965
229,연서면농협봉암지점-금융,50,0,127.2837025,36.56265775
230,사무실(office)-금융,50,0,127.2838884,36.56274267
231,사무실(office)-금융,50,0,127.2990843,36.60024708
232,사무실(office)-금융,50,0,127.2990343,36.60057174
233,사무실(office)-금융,50,0,127.2991483,36.60057786
234,사무실(office)-금융,50,0,127.3002872,36.60040656
235,사무실(office)-금융,50,0,127.3010523,36.60049123
236,반도유보라부동산-부동산업,50,0,127.2606407,36.51309339
237,해성부동산-부동산업,50,0,127.2530833,36.50486326
238,세종시으뜸공인중개사사무소-부동산업,50,0,127.2570773,36.48991893
239,The다정공인중개사사무소-부동산업,50,0,127.2557866,36.49300208
240,부동산채널공인중개사사무소-부동산업,50,0,127.2530833,36.50486326
241,세종재벌공인중개사사무소-부동산업,50,0,127.2812918,36.46510333
242,세종행복한공인중개사사무소-부동산업,50,0,127.2568699,36.49177416
243,이도공인중개사사무소-부동산업,50,0,127.2971042,36.58706919
244,세종꿈공인중개사-부동산업,50,0,127.2406285,36.5056498
245,모닝시티공인중개사사무소-부동산업,50,0,127.2558403,36.49206514
246,세종센텀공인중개사사무소-부동산업,50,0,127.2530833,36.50486326
247,세인공인중개사사무소-부동산업,50,0,127.2361867,36.52029325
248,도시건축공인중개사사무소-부동산업,50,0,127.2397991,36.50256235
249,홍자매공인중개사사무소-부동산업,50,0,127.2960514,36.48506332
250,새롬영화공인중개사사무소-부동산업,50,0,127.246783,36.47993195
251,olleh-부동산업,50,0,127.3306637,36.54945646
252,천지인-부동산업,50,0,127.2606407,36.51309339
253,만능공인중개사사무소-부동산업,50,0,127.2606407,36.51309339
254,현대엠코공인중개사사무소-부동산업,50,0,127.2453131,36.50147084
255,해뜨는공인중개사사무소-부동산업,50,0,127.2962422,36.47753922
256,에비뉴힐공인중개사사무소-부동산업,50,0,127.262186,36.49496142
257,세종로정은영부동산-부동산업,50,0,127.3672881,36.51121031
258,엔젤탑공인중개사사무소-부동산업,50,0,127.2878367,36.47780478
259,세종연두공인중개사사무소-부동산업,50,0,127.2482071,36.49539687
260,세종즐거운공인중개사사무소-부동산업,50,0,127.2486635,36.48397227
261,금송공인중개사사무소-부동산업,50,0,127.3294667,36.55096377
262,오케이세종공인중개사사무소-부동산업,50,0,127.2453131,36.50147084
263,세종누리공인중개사사무소-부동산업,50,0,127.2587739,36.49108305
264,연서공인중개사사무소-부동산업,50,0,127.2787123,36.55918403
265,한마음공인중개사사무소-부동산업,50,0,127.2562005,36.48940879
266,세종초이스공인중개사사무소-부동산업,50,0,127.2568222,36.4850868
267,롯데캐슬공인중개사사무소-부동산업,50,0,127.2458824,36.48649617
268,더정다운공인중개사사무소-부동산업,50,0,127.2572479,36.50828685
269,상록부동산-부동산업,50,0,127.2689126,36.54404707
270,초원공인중개사사무소-부동산업,50,0,127.3515398,36.53074535
271,과학벨트공인중개사사무소-부동산업,50,0,127.328894,36.48019666
272,시티사랑공인중개사사무소-부동산업,50,0,127.2523942,36.48364422
273,세종The즐거운공인중개사사무소-부동산업,50,0,127.2486635,36.48397227
274,아름솔로몬-부동산업,50,0,127.2485063,36.49562406
275,하나부동산-부동산업,50,0,127.2523942,36.48364422
276,킹콩공인중개사사무소-부동산업,50,0,127.3014758,36.48501408
277,명동부동산-부동산업,50,0,127.2562005,36.48940879
278,153부동산-부동산업,50,0,127.2624794,36.47931803
279,길광부동산-부동산업,50,0,127.2562005,36.48940879
280,복덕방-부동산업,50,0,127.2485063,36.49562406
281,한신부동산-부동산업,50,0,127.2485063,36.49562406
282,썬떰시티-부동산업,50,0,127.2485063,36.49562406
283,포스코부동산-부동산업,50,0,127.2562005,36.48940879
284,국제공인중개사-부동산업,50,0,127.2624794,36.47931803
285,신조부동산-부동산업,50,0,127.2572369,36.49541737
286,참조은부동산-부동산업,50,0,127.2568442,36.48511397
287,강창부동산-부동산업,50,0,127.2523942,36.48364422
288,신세계부동산-부동산업,50,0,127.2624501,36.5083011
289,뉴성실부동산-부동산업,50,0,127.2510038,36.48663657
290,더블유부동산-부동산업,50,0,127.2510038,36.48663657
291,다조아부동산-부동산업,50,0,127.2524967,36.48459115
292,가산부동산-부동산업,50,0,127.2568442,36.48511397
293,짱부동산-부동산업,50,0,127.2485063,36.49562406
294,롯데킹부동산-부동산업,50,0,127.2459205,36.48602777
295,멘토부동산-부동산업,50,0,127.2562005,36.48940879
296,눈높이-부동산업,50,0,127.2435737,36.49322268
297,연두부동산-부동산업,50,0,127.2485063,36.49562406
298,그린부동산-부동산업,50,0,127.2486071,36.49443508
299,365부동산-부동산업,50,0,127.2502313,36.48688406
300,세종지안공인중개사-부동산업,50,0,127.260071,36.48143901
301,션텀공인중개사-부동산업,50,0,127.2485063,36.49562406
302,마라톤부동산-부동산업,50,0,127.2562005,36.48940879
303,운좋은부동산-부동산업,50,0,127.2523942,36.48364422
304,지원공인중개사사무소-부동산업,50,0,127.3634512,36.52849337
305,덕천원주민부동산-부동산업,50,0,127.2908988,36.59108787
306,베가공인중개사사무소-부동산업,50,0,127.2353452,36.51957589
307,행복한부동산컨설팅-부동산업,50,0,127.3669219,36.52876419
308,소나무공인중개사-부동산업,50,0,127.260071,36.48143901
309,세종일등공인중개사사무소-부동산업,50,0,127.2568221,36.49210731
310,부자공인중개사사무소-부동산업,50,0,127.2770909,36.47292763
311,세경공인중개사사무소-부동산업,50,0,127.2499677,36.50033762
312,유니온공인중개사-부동산업,50,0,127.2568221,36.49210731
313,부동산-부동산업,50,0,127.2459205,36.48602777
314,태양부동산-부동산업,50,0,127.2562005,36.48940879
315,The행복공인중개사사무소-부동산업,50,0,127.2634551,36.51063245
316,세종부동산컨설팅공인중개사사무소-부동산업,50,0,127.2315671,36.50758347
317,주황-부동산업,50,0,127.2485063,36.49562406
318,참좋은부동산-부동산업,50,0,127.2492319,36.49561961
319,세종예미지행운공인중개사사무소-부동산업,50,0,127.2568222,36.4850868
320,세종해냄공인중개사-부동산업,50,0,127.260071,36.48143901
321,헌대가온부동산-부동산업,50,0,127.2453284,36.49528857
322,세종시티공인중개사사무소-부동산업,50,0,127.2660978,36.51570457
323,다정한공인중개사사무소-부동산업,50,0,127.2489727,36.49471676
324,세종청주공인중개사사무소-부동산업,50,0,127.2600488,36.48260145
325,명동공인중개사사무소-부동산업,50,0,127.2561319,36.48491127
326,솔로몬공인중개사사무소-부동산업,50,0,127.246783,36.47993195
327,잘이음부동산중개-부동산업,50,0,127.2576833,36.48606548
328,부동산나라공인중개사사무소-부동산업,50,0,127.2453131,36.50147084
329,옥수공인중개사사무소-부동산업,50,0,127.2561319,36.48491127
330,세종수호공인중개사사무소-부동산업,50,0,127.2570773,36.48991893
331,하나플러스공인중개사사무소-부동산업,50,0,127.2588677,36.48591963
332,세종이편한공인중개사사무소-부동산업,50,0,127.2969322,36.48021992
333,하이-부동산업,50,0,127.2546157,36.49289563
334,다정공인중개사사무소-부동산업,50,0,127.2557866,36.49300208
335,세종부동산114공인중개사사무소-부동산업,50,0,127.2883823,36.47671755
336,비타민공인중개사사무소-부동산업,50,0,127.2487168,36.49231791
337,세종지원공인중개사사무소-부동산업,50,0,127.2747302,36.55496023
338,해안공인중개사사무소-부동산업,50,0,127.2551575,36.49226816
339,세종갤러리공인중개사무소-부동산업,50,0,127.2345465,36.50544871
340,세종소망공인중개사사무소-부동산업,50,0,127.2962421,36.47754823
341,중흥공인중개사-부동산업,50,0,127.3005811,36.48149407
342,마이더스터치-부동산업,50,0,127.2797133,36.46326433
343,전문부동산-부동산업,50,0,127.2914531,36.5756805
344,대한민국세종시약속의땅부동산-부동산업,50,0,127.2924226,36.58331049
345,일번지부동산-부동산업,50,0,127.290467,36.57354778
346,장원-부동산업,50,0,127.2180801,36.43994932
347,수봉공인중개사-부동산업,50,0,127.2606235,36.48084763
348,행복도시공인중개사-부동산업,50,0,127.2571609,36.48234018
349,세종대박공인중개사-부동산업,50,0,127.2571609,36.48234018
350,한솔공인중개사-부동산업,50,0,127.2606235,36.48084763
351,강동부동산-부동산업,50,0,127.2941772,36.60292216
352,삼성부동산중개법인-부동산업,50,0,127.2820163,36.46760409
353,상희공인중개사-부동산업,50,0,127.2940818,36.60481412
354,고향산천부동산중개사무소-부동산업,50,0,127.282472,36.56213566
355,부동산컨설팅-부동산업,50,0,127.2977807,36.59504887
356,세종경매공인중개사사무소-부동산업,50,0,127.3003659,36.59961517
357,새마루-부동산업,50,0,127.1964476,36.707878
358,세종원주민공인중개사-부동산업,50,0,127.2837977,36.56132352
359,세종경성개발-부동산업,50,0,127.2827159,36.66011605
360,고은세종시행사-부동산업,50,0,127.2618123,36.48023315
361,에이스공인중개사-부동산업,50,0,127.2205189,36.49940985
362,아이콤타워-부동산업,50,0,127.2599232,36.48290709
363,세종시민개발-부동산업,50,0,127.2803848,36.46062778
364,엘지-부동산업,50,0,127.2818096,36.46703507
365,세종시탑-부동산업,50,0,127.2818096,36.46703507
366,대명부동산-부동산업,50,0,127.298045,36.59300468
367,명동부동산-부동산업,50,0,127.3030679,36.59991939
368,한마음공인중개사-부동산업,50,0,127.2756807,36.5500544
369,세종농가구전문땅-부동산업,50,0,127.2933164,36.5833248
370,종합컨설턴트-부동산업,50,0,127.2983562,36.59197013
371,청사공인중개사-부동산업,50,0,127.2919982,36.57838736
372,죽림부동산-부동산업,50,0,127.2967199,36.59494348
373,신동아공인중개사-부동산업,50,0,127.2912916,36.60313033
374,세종금강투자개발-부동산업,50,0,127.2052047,36.49715491
375,다복부동산-부동산업,50,0,127.296977,36.59000638
376,대박부동산-부동산업,50,0,127.2913213,36.57542737
377,넘버원-부동산업,50,0,127.2814341,36.46661825
378,세종모범공인중개사-부동산업,50,0,127.2901856,36.60306067
379,대지-부동산업,50,0,127.2820127,36.4680006
380,세종도원-부동산업,50,0,127.2814341,36.46661825
381,조치원부동산-부동산업,50,0,127.2997875,36.59682704
382,세종킹부동산-부동산업,50,0,127.2606235,36.48084763
383,신도시공인중개사-부동산업,50,0,127.2571609,36.48234018
384,세종사랑부동산-부동산업,50,0,127.2590393,36.47727798
385,세종명품공인중개사-부동산업,50,0,127.2590393,36.47727798
386,세종제일공인중개사-부동산업,50,0,127.2590393,36.47727798
387,세종하나부동산-부동산업,50,0,127.2590393,36.47727798
388,21세기공인중개사사무소-부동산업,50,0,127.2937671,36.59273609
389,뉴미림공인중개사무소-부동산업,50,0,127.2803848,36.46062778
390,청운부동산컨설팅-부동산업,50,0,127.288579,36.58813611
391,금강공인중개사사무소-부동산업,50,0,127.2812437,36.4666892
392,이규순공인중개사사무소-부동산업,50,0,127.2814649,36.46690682
393,충남부동산공인중개사무소-부동산업,50,0,127.2824462,36.562505
394,만인공인중개사-부동산업,50,0,127.2908988,36.59108787
395,태평양부동산사무소-부동산업,50,0,127.2990302,36.59158657
396,번암주공공인중개사-부동산업,50,0,127.2935987,36.58668798
397,이화부동산-부동산업,50,0,127.296767,36.59097845
398,연기공인중개사사무소-부동산업,50,0,127.283046,36.56288711
399,대신부동산-부동산업,50,0,127.297708,36.59073165
400,가인공인중개사-부동산업,50,0,127.1967983,36.68062848
401,뉴스타공인중개사사무소-부동산업,50,0,127.3478336,36.53592517
402,삼성공인중개사사무소-부동산업,50,0,127.3005399,36.6001479
403,일사천리종합컨설턴트-부동산업,50,0,127.2983562,36.59197013
404,경성공인중개사-부동산업,50,0,127.2908712,36.59776565
405,한빛부동산공인중개사사무소-부동산업,50,0,127.2797133,36.46326433
406,조형공인중개사-부동산업,50,0,127.2892701,36.63583198
407,LBA나라공인중개사사무소-부동산업,50,0,127.2939889,36.60519208
408,세종투자개발-부동산업,50,0,127.2224912,36.59900642
409,금강랜드-부동산업,50,0,127.2818981,36.46832436
410,용천-부동산업,50,0,127.2826056,36.46662529
411,공간-부동산업,50,0,127.2886574,36.60028485
412,소암부동산연구소-부동산업,50,0,127.2082667,36.49899573
413,에이원개발-부동산업,50,0,127.2778634,36.55077058
414,세종상가조합-부동산업,50,0,127.2812603,36.4661035
415,다전부동산-부동산업,50,0,127.2926225,36.57732764
416,천사부동산-부동산업,50,0,127.290467,36.57354778
417,성신-부동산업,50,0,127.2820127,36.4680006
418,SR분양사무소-부동산업,50,0,127.2599232,36.48290709
419,세종크로바-부동산업,50,0,127.2809337,36.46521833
420,세종천사공인중개사-부동산업,50,0,127.290467,36.57354778
421,세천년부동산-부동산업,50,0,127.294134,36.58434801
422,에이스부동산-부동산업,50,0,127.2974675,36.59014445
423,가람한스웰시티-부동산업,50,0,127.2599232,36.48290709
424,세종벵크-부동산업,50,0,127.2815623,36.46723185
425,세종시부동산중개법인-부동산업,50,0,127.2784284,36.55487452
426,토지벵크-부동산업,50,0,127.2856235,36.56686792
427,세종시부동산연구소-부동산업,50,0,127.2812831,36.46484192
428,세종가는길-부동산업,50,0,127.2809696,36.46495719
429,세종도안박사-부동산업,50,0,127.2562005,36.48940879
430,금지게-부동산업,50,0,127.2818096,36.46703507
431,고향산천-부동산업,50,0,127.2914531,36.5756805
432,세종경맵동산-부동산업,50,0,127.2975883,36.6051773
433,경성개발-부동산업,50,0,127.2827159,36.66011605
434,해오름공인중개사-부동산업,50,0,127.2927196,36.57770673
435,우정부동산-부동산업,50,0,127.2989388,36.59180233
436,문예식부동산-부동산업,50,0,127.2942236,36.60641911
437,열매공인중개사-부동산업,50,0,127.2975883,36.6051773
438,분양권-부동산업,50,0,127.2815299,36.4671145
439,세종역공인중개사-부동산업,50,0,127.294843,36.60099752
440,신주공부동산-부동산업,50,0,127.2914943,36.59562449
441,럭셔리공인중개사-부동산업,50,0,127.2964607,36.59517627
442,월드부동산-부동산업,50,0,127.2571609,36.48234018
443,황금부동산-부동산업,50,0,127.2909789,36.60309242
444,태진컨설팅-부동산업,50,0,127.2230428,36.49929114
445,행운공인중개사-부동산업,50,0,127.3030792,36.60115411
446,교차로공인중개사-부동산업,50,0,127.2606235,36.48084763
447,명동부동산-부동산업,50,0,127.2971651,36.60376892
448,리치앤골드-부동산업,50,0,127.2074319,36.49876488
449,세종테크노밸리-부동산업,50,0,127.2700532,36.55339963
450,세종새땅공인중개사-부동산업,50,0,127.2054152,36.49730952
451,코리아부동산-부동산업,50,0,127.2590393,36.47727798
452,신안부동산공인중개사사무소-부동산업,50,0,127.2818848,36.46735095
453,희망연기부동산-부동산업,50,0,127.2803559,36.46133958
454,모던코리아컨설팅-부동산업,50,0,127.2205189,36.49940985
455,랜드부동산-부동산업,50,0,127.2606235,36.48084763
456,윤복부동산-부동산업,50,0,127.210546,36.5009845
